Easting Northing Q1 I1 Q05 I05 elevation
741483.539 3669797.744 67.71 0.72 45.83 0.27 69.109
741484.348 3669797.728 67.48 0.75 45.98 0.27 69.1
741484.724 3669797.717 67.83 0.71 46.49 0.27 69.101
741485.236 3669797.701 67.79 0.66 46.57 0.27 69.102
741485.682 3669797.688 68.22 0.77 46.92 0.27 69.103
741486.187 3669797.677 68.84 0.81 47.23 0.27 69.095
741486.985 3669797.663 68.81 0.76 46.49 0.27 69.077
741487.609 3669797.651 68.61 0.8 46.41 0.28 69.073
741488.081 3669797.641 67.13 0.64 46.65 0.27 69.081
741488.682 3669797.629 67.52 0.59 46.84 0.26 69.091
741489.252 3669797.612 68.1 0.64 46.8 0.27 69.091
741489.902 3669797.59 68.22 0.77 47.23 0.28 69.084
741490.512 3669797.571 67.59 0.84 46.8 0.3 69.078
741491.133 3669797.558 68.06 0.89 46.65 0.3 69.069
741491.561 3669797.549 68.14 0.98 46.77 0.3 69.063
741492.051 3669797.539 68.92 1 46.92 0.29 69.056
741492.759 3669797.526 68.38 0.99 46.92 0.29 69.047
741494.004 3669797.497 68.96 0.99 46.77 0.26 69.041
741494.557 3669797.48 69.08 0.87 46.84 0.27 69.045
741495.03 3669797.465 68.1 0.77 46.02 0.27 69.049
741495.794 3669797.435 68.22 0.82 46.88 0.28 69.043
741496.518 3669797.407 68.92 0.82 47.55 0.29 69.036
741497.08 3669797.395 70.52 0.83 48.02 0.31 69.031
741497.513 3669797.387 71.07 0.92 48.99 0.29 69.027
741497.983 3669797.379 71.77 0.9 48.99 0.28 69.023
741498.752 3669797.362 72.59 0.89 49.54 0.27 69.019
741499.739 3669797.339 73.53 0.93 50.28 0.28 69.014
741500.215 3669797.329 74 0.89 50.63 0.28 69.014
741500.761 3669797.318 73.22 0.84 50.71 0.28 69.015
741501.224 3669797.309 73.38 0.88 50.83 0.28 69.015
741501.828 3669797.304 73.81 0.88 51.02 0.27 69.019
741502.576 3669797.305 73.49 0.82 50.98 0.25 69.026
741503.328 3669797.306 73.22 0.81 51.65 0.24 69.029
741503.71 3669797.306 74.31 0.83 52.2 0.23 69.024
741504.248 3669797.305 76.07 0.81 52.74 0.23 69.017
741504.746 3669797.304 76.66 0.81 53.68 0.23 69.011
741505.612 3669797.308 77.16 0.83 54.11 0.23 69.01
741506.474 3669797.315 77.59 0.85 53.56 0.24 69.007
741506.903 3669797.325 76.97 0.84 53.76 0.25 69
741507.369 3669797.336 76.46 0.83 53.95 0.27 68.993
741507.798 3669797.346 77.4 0.87 54.85 0.27 68.987
741508.764 3669797.341 76.19 0.88 54.11 0.28 68.98
741509.287 3669797.337 76.03 0.9 54.07 0.29 68.976
741509.855 3669797.314 76.89 0.9 54.46 0.28 68.968
741510.303 3669797.289 77.48 0.88 54.15 0.27 68.959
741510.711 3669797.267 77.24 0.85 54.7 0.26 68.951
741511.34 3669797.231 77.36 0.91 55.32 0.27 68.939
741512.193 3669797.181 76.89 0.87 55.79 0.29 68.925
741512.76 3669797.149 77.05 0.88 55.95 0.3 68.911
741513.236 3669797.124 78.1 0.89 56.61 0.32 68.894
741513.753 3669797.096 78.69 0.92 56.92 0.32 68.875
741514.313 3669797.07 78.49 0.92 56.84 0.29 68.865
741515.148 3669797.036 78.81 0.99 57.35 0.27 68.87
741515.73 3669797.014 81.42 1 57.04 0.26 68.873
741516.184 3669797.011 81.62 0.94 56.57 0.28 68.868
741516.758 3669797.008 81.77 0.98 56.88 0.29 68.863
741517.211 3669797.005 82.56 1.02 56.92 0.3 68.859
741518.386 3669796.983 82.36 0.93 57.31 0.29 68.866
741519.103 3669796.967 81.89 0.93 57.51 0.3 68.872
741519.599 3669796.942 82.63 0.92 57.82 0.3 68.877
741520.055 3669796.918 83.22 0.87 58.13 0.28 68.881
741520.679 3669796.886 82.4 0.89 57.74 0.29 68.886
741521.394 3669796.836 81.31 0.88 57.82 0.29 68.874
741522.316 3669796.77 82.4 0.88 58.13 0.29 68.855
741522.782 3669796.739 82.36 0.87 58.29 0.28 68.848
741523.231 3669796.709 83.3 0.93 57.43 0.28 68.843
741523.883 3669796.666 83.84 0.94 57.98 0.29 68.835
741524.564 3669796.635 83.77 1 59.23 0.3 68.834
741525.281 3669796.612 85.72 0.97 60.2 0.28 68.836
741526.261 3669796.588 86.27 0.96 60.4 0.29 68.835
741526.735 3669796.585 87.48 1.03 61.26 0.3 68.829
741527.25 3669796.581 87.98 1.01 61.22 0.29 68.823
741527.755 3669796.577 87.05 0.95 60.59 0.28 68.818
741528.634 3669796.577 86.81 0.96 61.14 0.28 68.812
741529.519 3669796.575 88.18 0.96 61.65 0.28 68.807
741530.016 3669796.572 87.87 0.97 61.69 0.29 68.808
741530.515 3669796.568 87.87 1 61.77 0.29 68.809
741531.012 3669796.565 87.75 0.97 62.08 0.29 68.811
741531.878 3669796.56 88.14 0.94 62.16 0.29 68.805
741532.923 3669796.553 87.32 0.98 62.2 0.29 68.795
741533.561 3669796.55 88.3 0.96 62.82 0.3 68.787
741534.025 3669796.548 88.92 0.99 62.78 0.31 68.782
741534.492 3669796.545 89.47 1.01 62.78 0.29 68.776
741535.17 3669796.539 88.96 0.91 62.63 0.28 68.774
741536.046 3669796.531 88.49 0.95 62.74 0.28 68.775
741536.704 3669796.523 88.69 0.98 63.02 0.28 68.777
741537.339 3669796.514 89.12 0.9 63.02 0.28 68.781
741537.888 3669796.506 88.02 0.95 62.78 0.29 68.784
741538.508 3669796.491 89 0.98 63.41 0.28 68.789
741539.475 3669796.459 89.31 0.91 63.29 0.27 68.799
741540.16 3669796.436 89.12 0.89 62.2 0.27 68.803
741540.637 3669796.419 89.08 0.92 62 0.27 68.802
741541.075 3669796.404 88.88 0.93 61.57 0.28 68.8
741541.592 3669796.385 87.01 0.94 60.91 0.28 68.799
741542.878 3669796.324 87.91 0.96 60.75 0.28 68.801
741543.483 3669796.294 87.91 0.97 60.16 0.29 68.803
741544.213 3669796.248 87.13 1.02 60.13 0.31 68.805
741544.756 3669796.214 87.44 1.02 60.24 0.32 68.808
741545.397 3669796.173 86.46 0.95 59.58 0.31 68.81
741546.393 3669796.121 86.07 0.99 59.5 0.31 68.8
741547.237 3669796.078 86.34 0.98 59.77 0.31 68.792
741547.742 3669796.053 86.97 0.95 59.93 0.31 68.79
741548.337 3669796.023 87.24 0.98 60.98 0.3 68.787
741548.842 3669795.998 86.93 0.9 61.06 0.29 68.785
741549.654 3669795.963 86.54 0.81 61.14 0.29 68.787
741550.654 3669795.923 86.62 0.85 61.41 0.3 68.792
741551.355 3669795.902 87.75 0.81 61.18 0.3 68.796
741551.88 3669795.889 87.32 0.82 60.59 0.3 68.799
741552.316 3669795.878 87.87 0.87 60.52 0.3 68.801
741552.87 3669795.865 88.34 0.86 60.13 0.29 68.804
741553.864 3669795.84 87.13 0.84 60.55 0.29 68.803
741554.702 3669795.82 87.48 0.9 60.91 0.3 68.802
741555.278 3669795.822 87.63 0.92 61.18 0.3 68.796
741555.853 3669795.825 87.95 0.93 61.69 0.3 68.791
741556.621 3669795.831 88.77 0.93 62.31 0.3 68.786
741557.626 3669795.849 88.53 0.9 62.86 0.3 68.796
741558.392 3669795.861 89.16 0.92 62.7 0.31 68.802
741558.924 3669795.854 89.31 0.89 62.39 0.32 68.79
741559.502 3669795.846 88.34 0.84 62.7 0.32 68.776
741560.034 3669795.839 89.66 0.9 63.72 0.31 68.764
741560.933 3669795.808 90.41 0.86 63.76 0.31 68.749
741562.076 3669795.762 90.21 0.87 64.23 0.32 68.731
741562.428 3669795.746 90.48 0.82 64.34 0.32 68.729
741563.043 3669795.718 90.84 0.84 64.81 0.32 68.727
741563.527 3669795.695 90.99 0.87 65.2 0.32 68.725
741564.291 3669795.661 91.23 0.76 65.09 0.3 68.727
741565.152 3669795.622 91.31 0.77 64.58 0.32 68.732
741565.929 3669795.597 90.68 0.83 64.38 0.32 68.729
741566.411 3669795.588 91.42 0.83 65.16 0.31 68.722
741566.893 3669795.579 91.73 0.81 65.4 0.33 68.714
741567.408 3669795.569 90.33 0.82 65.95 0.33 68.708
741568.551 3669795.548 91.07 0.88 66.65 0.34 68.702
741569.241 3669795.53 90.56 0.85 67.31 0.32 68.7
741569.74 3669795.503 91.38 0.87 67.98 0.32 68.705
741570.202 3669795.477 93.3 0.89 69.81 0.31 68.709
741570.662 3669795.452 94.47 0.87 69.66 0.31 68.713
741571.512 3669795.409 94.43 0.88 70.87 0.33 68.713
741573.077 3669795.337 93.96 0.76 70.79 0.34 68.717
741573.519 3669795.32 92.71 0.7 70.87 0.33 68.721
741573.963 3669795.302 93.45 0.71 70.16 0.32 68.724
741574.733 3669795.276 93.41 0.81 69.54 0.33 68.728
741575.631 3669795.248 92.95 0.84 68.72 0.36 68.73
741576.25 3669795.235 92.91 0.84 68.91 0.35 68.734
741576.773 3669795.228 92.79 0.83 68.41 0.35 68.74
741577.258 3669795.221 91.42 0.76 68.6 0.34 68.745
741577.772 3669795.219 91.15 0.76 68.33 0.33 68.748
741578.375 3669795.218 91.89 0.74 67.82 0.32 68.749
741579.011 3669795.217 90.6 0.71 67.86 0.33 68.748
741579.377 3669795.219 91.15 0.75 68.29 0.33 68.742
741579.805 3669795.22 91.89 0.67 68.45 0.31 68.735
741580.141 3669795.221 91.31 0.59 68.21 0.31 68.729
741580.992 3669795.224 90.45 0.54 67.66 0.32 68.722
741581.549 3669795.225 90.45 0.61 68.21 0.33 68.718
741581.941 3669795.227 90.33 0.57 68.02 0.34 68.72
741582.43 3669795.23 89.63 0.59 68.02 0.32 68.722
741582.886 3669795.23 88.96 0.56 68.88 0.33 68.723
741583.42 3669795.22 88.73 0.63 69.34 0.33 68.72
741584.359 3669795.191 91.97 0.71 68.68 0.32 68.714
741584.696 3669795.171 91.66 0.74 68.05 0.32 68.71
741585.155 3669795.145 92.05 0.79 68.17 0.29 68.705
741585.655 3669795.118 93.06 0.77 68.25 0.3 68.699
741586.35 3669795.082 93.06 0.79 68.6 0.29 68.691
741586.933 3669795.06 93.45 0.81 68.88 0.29 68.686
741587.432 3669795.049 93.14 0.74 68.76 0.29 68.685
741587.765 3669795.042 92.44 0.71 69.07 0.29 68.684
741588.224 3669795.039 93.49 0.76 69.15 0.3 68.682
741588.904 3669795.044 94.04 0.88 69.15 0.31 68.679
741589.521 3669795.05 93.96 0.91 69.23 0.31 68.674
741589.951 3669795.058 94.9 0.91 69.27 0.32 68.667
741590.382 3669795.065 95.37 0.97 69.46 0.32 68.66
741590.681 3669795.07 95.25 1.01 69.73 0.32 68.656
741591.427 3669795.089 94.47 0.95 69.66 0.32 68.64
741592.114 3669795.106 95.06 0.96 69.07 0.32 68.626
741592.652 3669795.113 94.23 0.89 69.3 0.32 68.628
741593.046 3669795.118 93.65 0.84 69.15 0.32 68.629
741593.579 3669795.122 92.98 0.81 68.91 0.33 68.631
741594.105 3669795.115 91.85 0.78 68.88 0.34 68.632
741594.786 3669795.107 91.58 0.79 69.03 0.34 68.633
741595.276 3669795.095 91.31 0.8 68.41 0.36 68.635
741595.778 3669795.083 91.62 0.82 67.94 0.35 68.638
741596.167 3669795.073 90.25 0.75 67.78 0.34 68.64
741596.879 3669795.051 90.21 0.81 66.8 0.34 68.646
741597.56 3669795.03 90.84 0.89 66.1 0.33 68.653
741598.138 3669795.002 88.92 0.8 65.16 0.34 68.659
741598.543 3669794.977 88.02 0.72 64.77 0.34 68.664
741599.056 3669794.946 87.32 0.68 64.11 0.33 68.67
741599.492 3669794.911 86.7 0.68 63.76 0.32 68.673
741600.375 3669794.818 85.91 0.67 63.37 0.32 68.675
741600.932 3669794.756 85.33 0.67 63.41 0.32 68.676
741601.404 3669794.697 84.86 0.68 62.63 0.31 68.674
741601.767 3669794.651 84.47 0.71 61.73 0.32 68.673
741602.239 3669794.591 83.26 0.8 61.22 0.32 68.671
741603.002 3669794.511 83.26 0.85 61.1 0.33 68.658
741603.763 3669794.434 82.71 0.9 60.75 0.34 68.644
741604.19 3669794.412 82.95 0.94 60.67 0.33 68.637
741604.614 3669794.389 83.53 0.96 60.91 0.34 68.629
741605.111 3669794.363 84.59 0.98 60.95 0.34 68.62
741605.671 3669794.342 84.39 0.95 60.67 0.34 68.628
741606.47 3669794.314 83.26 0.95 60.55 0.34 68.644
