Easting Northing EcaH1 I1 EcaH05 i05 elevation
741564.744 3669641.789 53.57 -1.77 35.79 -1 71.16
741564.374 3669641.796 53.61 -1.74 35.48 -0.99 71.174
741563.802 3669641.809 52.87 -1.72 35.67 -0.99 71.196
741562.473 3669641.845 53.45 -1.7 36.06 -1 71.242
741561.978 3669641.857 54 -1.69 35.79 -0.99 71.259
741561.352 3669641.871 54.94 -1.71 36.3 -0.99 71.28
741560.881 3669641.882 54.86 -1.73 36.96 -0.99 71.296
741560.432 3669641.887 55.52 -1.77 37.27 -0.99 71.309
741559.487 3669641.895 55.48 -1.75 37.12 -0.97 71.333
741558.809 3669641.903 54.82 -1.75 37.04 -0.98 71.355
741558.324 3669641.912 55.8 -1.74 37.35 -0.99 71.378
741557.8 3669641.921 55.88 -1.77 37.51 -1 71.402
741557.098 3669641.935 56.11 -1.77 37.78 -0.98 71.424
741555.982 3669641.962 57.13 -1.72 38.02 -0.95 71.429
741555.308 3669641.982 57.32 -1.75 38.37 -0.96 71.436
741554.849 3669641.998 57.01 -1.76 38.02 -0.98 71.442
741554.347 3669642.015 57.4 -1.75 37.59 -0.98 71.449
741553.163 3669642.055 55.52 -1.74 35.98 -0.97 71.481
741552.464 3669642.078 55.06 -1.74 36.02 -0.97 71.505
741551.854 3669642.09 53.34 -1.75 35.59 -0.99 71.527
741551.268 3669642.098 53.26 -1.75 35.32 -0.98 71.549
741550.837 3669642.103 52.87 -1.74 35.09 -0.98 71.565
741550.447 3669642.108 51.15 -1.76 34.54 -0.98 71.579
741548.911 3669642.122 50.8 -1.73 33.48 -0.98 71.654
741548.321 3669642.13 49.94 -1.73 33.45 -0.97 71.671
741547.784 3669642.138 49.9 -1.74 33.45 -0.95 71.68
741547.165 3669642.148 49.55 -1.78 33.88 -0.96 71.69
741546.577 3669642.161 50.52 -1.77 33.68 -0.97 71.721
741545.737 3669642.182 50.09 -1.77 33.52 -0.95 71.781
741544.783 3669642.208 49.43 -1.75 33.21 -0.93 71.796
741544.531 3669642.215 48.92 -1.77 32.51 -0.94 71.781
741543.779 3669642.237 48.34 -1.8 32.39 -0.97 71.737
